#1
double PHeat(11,6)					
-1	0.2	0.4	0.6	0.8	1
                  176 0.989 0.995
                  177 0.986 0.996
                  178 0.979 0.996
                  179 0.974 0.996
                  180 0.967 0.996
                  181 0.960 0.996
                  182 0.953 0.996
                  183 0.946 0.996
                  184 0.940 0.996
                  185 0.934 0.996
                  186 0.930 0.996
                  187 0.927 0.996
                  188 0.924 0.996
                  189 0.921 0.996
                  190 0.916 0.996
                  191 0.915 0.996
                  192 0.913 0.996
                  193 0.909 0.996
                  194 0.909 0.996
                  195 0.907 0.996
                  196 0.906 0.996
                  197 0.905 0.996
                  198 0.904 0.996
                  199 0.900 0.996
                  200 0.900 0.996
                  201 0.899 0.996
                  202 0.897 0.996
                  203 0.896 0.996
                  204 0.895 0.996
                  205 0.894 0.996
                  206 0.893 0.996
                  207 0.891 0.996
                  208 0.888 0.996
                  209 0.886 0.996
                  210 0.884 0.996
                  211 0.882 0.996
                  212 0.879 0.996
                  213 0.876 0.996
                  214 0.873 0.996
                  215 0.870 0.996
                  216 0.868 0.996
                  217 0.866 0.996
                  218 0.865 0.996
                  219 0.862 0.996
                  220 0.860 0.996
                  221 0.858 0.996
                  222 0.854 0.996
                  223 0.852 0.996
                  224 0.851 0.996
                  225 0.851 0.996
                  226 0.848 0.996
                  227 0.847 0.996
                  228 0.844 0.996
                  229 0.841 0.996
                  230 0.839 0.996
                  231 0.837 0.996
                  232 0.835 0.995
                  233 0.835 0.995
                  234 0.834 0.995
                  235 0.833 0.995
                  236 0.834 0.995
                  237 0.834 0.995
                  238 0.833 0.995
                  239 0.833 0.995
                  240 0.832 0.995
                  241 0.831 0.995
                  242 0.829 0.995
                  243 0.825 0.995
                  244 0.825 0.995
                  245 0.824 0.995
                  246 0.824 0.995
                  247 0.823 0.995
                  248 0.824 0.995
                  249 0.824 0.995
                  250 0.823 0.995
                  251 0.824 0.995
                  252 0.824 0.995
                  253 0.822 0.995
                  254 0.821 0.995
                  255 0.821 0.995
                  256 0.821 0.995
                  257 0.821 0.995
                  258 0.820 0.995
                  259 0.817 0.995
                  260 0.815 0.995
                  261 0.813 0.995
                  262 0.812 0.995
                  263 0.811 0.995
                  264 0.808 0.995
                  265 0.807 0.995
                  266 0.805 0.995
                  267 0.804 0.995
                  268 0.803 0.995
                  269 0.802 0.995
                  270 0.800 0.995
                  271 0.798 0.995
                  272 0.796 0.995
                  273 0.795 0.995
                  274 0.795 0.995
                  275 0.798 0.995
                  276 0.800 0.994
                  277 0.799 0.994
                  278 0.800 0.994
                  279 0.798 0.994
                  280 0.799 0.994
                  281 0.797 0.994
                  282 0.796 0.994
                  283 0.798 0.994
                  284 0.798 0.994
                  285 0.800 0.994
                  286 0.800 0.994
                  287 0.800 0.994
                  288 0.798 0.994
                  289 0.797 0.994
                  290 0.797 0.994
                  291 0.795 0.994
                  292 0.796 0.994
                  293 0.797 0.994
                  294 0.796 0.994
                  295 0.797 0.994
                  296 0.796 0.994
                  297 0.794 0.994
                  298 0.794 0.994
                  299 0.791 0.994
                  300 0.791 0.994

double CoolDown(71,3)      
                    0 1.000 1.000
                    1 1.000 1.000
                    2 0.998 1.000
                    3 0.969 1.000
                    4 0.896 1.000
                    5 0.786 1.000
                    6 0.667 1.000
                    7 0.560 0.999
                    8 0.471 0.999
                    9 0.395 0.999
                   10 0.338 0.999
                   11 0.288 0.998
                   12 0.248 0.997
                   13 0.216 0.996
                   14 0.190 0.996
                   15 0.169 0.996
                   16 0.150 0.996
                   17 0.135 0.995
                   18 0.123 0.995
                   19 0.111 0.995
                   20 0.104 0.995
                   21 0.093 0.995
                   22 0.089 0.995
                   23 0.080 0.995
                   24 0.074 0.995
                   25 0.069 0.995
                   26 0.065 0.995
                   27 0.059 0.994
                   28 0.057 0.994
                   29 0.053 0.994
                   30 0.051 0.994
                   31 0.049 0.994
                   32 0.047 0.994
                   33 0.044 0.994
                   34 0.043 0.993
                   35 0.041 0.993
                   36 0.040 0.993
                   37 0.037 0.993
                   38 0.039 0.993
                   39 0.037 0.993
                   40 0.036 0.993
                   41 0.035 0.993
                   42 0.035 0.993
                   43 0.034 0.993
                   44 0.034 0.993
                   45 0.033 0.993
                   46 0.031 0.992
                   47 0.030 0.992
                   48 0.029 0.992
                   49 0.030 0.992
                   50 0.030 0.992
                   51 0.030 0.992
                   52 0.029 0.992
                   53 0.029 0.992
                   54 0.029 0.992
                   55 0.028 0.992
                   56 0.028 0.992
                   57 0.028 0.992
                   58 0.026 0.992
                   59 0.027 0.992
                   60 0.027 0.992
                   61 0.015 0.572
                   62 0.006 0.222
                   63 0.003 0.104
                   64 0.002 0.071
                   65 0.002 0.063
                   66 0.001 0.047
                   67 0.001 0.033
                   68 0.001 0.028
                   69 0.000 0.000
                   70 0.000 0.000

